Date,Station_ID,Year_UTC,Month_UTC,Day_UTC,Latitude,Longitude,TA,DIC,Depth,CTDTEMP_ITS90,Salinity_PSS78
1989-11-11,090.0 090.0,1989,11,11,31.4179,-121.99,2241.2,1990.2,10,18.11,33.481
1989-11-11,090.0 120.0,1989,11,11,30.4179,-123.9989,2252.1,1993.1,10,19.44,33.708
1989-11-12,090.0 070.0,1989,11,12,32.0846,-120.6387,2232.6,1989.2,10,17.47,33.413
1990-03-09,090.0 070.0,1990,3,9,32.0846,-120.6387,2229,2007.65,10,NA,33.539
1990-03-09,090.0 090.0,1990,3,9,31.4179,-121.99,2225.05,2002.3000000000002,10,NA,33.403999999999996
1990-03-10,090.0 070.0,1990,3,10,32.0846,-120.6387,2229,2007.7,10,13.71,33.539
1990-03-10,090.0 090.0,1990,3,10,31.4179,-121.99,2225.1,2002.3,10,13.63,33.404
1990-04-21,090.0 090.0,1990,4,21,31.4179,-121.99,2229.6,2000.1999999999998,10,NA,33.464
1990-04-21,090.0 120.0,1990,4,21,30.4179,-123.9989,2239.8,2032.75,10,NA,33.648
1990-04-22,090.0 070.0,1990,4,22,32.0846,-120.6387,2219,1996.1999999999998,10,NA,33.30200000000001
1990-04-22,090.0 090.0,1990,4,22,31.4179,-121.99,2229.6,2000.2,10,15.63,33.464
1990-04-22,090.0 120.0,1990,4,22,30.4179,-123.9989,2239.8,2001.2,10,16.76,33.648
1990-04-23,090.0 070.0,1990,4,23,32.0846,-120.6387,2219,1996.2,10,14.43,33.302
1990-07-29,090.0 090.0,1990,7,29,31.4179,-121.99,2237.1,NA,10,NA,NA
1990-07-29,090.0 120.0,1990,7,29,30.4179,-123.9989,2229.0249999999996,NA,10,NA,NA
1990-07-30,090.0 070.0,1990,7,30,32.0846,-120.6387,2224.4,NA,10,NA,NA
1990-07-30,090.0 090.0,1990,7,30,31.4179,-121.99,2240.6,2000.6,10,19.38,33.607
1990-07-30,090.0 120.0,1990,7,30,30.4179,-123.9989,2229,1994.1,10,19.17,33.406
1990-07-31,090.0 070.0,1990,7,31,32.0846,-120.6387,2219.9,1992.2,10,18.22,33.28
1990-11-08,090.0 120.0,1990,11,8,30.4179,-123.9989,2261.35,NA,10,NA,NA
1990-11-09,090.0 070.0,1990,11,9,32.0846,-120.6387,2234.4,1995.5,10,NA,NA
1990-11-09,090.0 090.0,1990,11,9,31.4179,-121.99,2239.2,NA,10,NA,NA
1990-11-09,090.0 120.0,1990,11,9,30.4179,-123.9989,2261.3,1998.6,10,19.92,33.907
1990-11-10,090.0 070.0,1990,11,10,32.0846,-120.6387,2234.4,1995.5,10,16.83,33.52
1990-11-10,090.0 090.0,1990,11,10,31.4179,-121.99,2237.2,1990.3,10,18.71,33.544
1991-01-11,090.0 120.0,1991,1,11,30.4179,-123.9989,NA,1996.1000000000001,10,NA,NA
1991-01-12,090.0 090.0,1991,1,12,31.4179,-121.99,NA,1990.075,10,NA,NA
1991-01-12,090.0 120.0,1991,1,12,30.4179,-123.9989,2245.4,1996.2,10,16.45,33.652
1991-03-02,090.0 090.0,1991,3,2,31.4179,-121.99,2237.45,2001.9499999999998,10,NA,33.593999999999994
1991-03-02,090.0 120.0,1991,3,2,30.4179,-123.9989,2259.8,2007.15,10,NA,33.98
1991-03-03,090.0 070.0,1991,3,3,32.0846,-120.6387,2226.633333333333,NA,10,NA,NA
1991-03-03,090.0 090.0,1991,3,3,31.4179,-121.99,2237.5,2002,10,15.91,33.594
1991-03-03,090.0 120.0,1991,3,3,30.4179,-123.9989,2259.8,2007.1,10,17.01,33.98
1991-03-04,090.0 070.0,1991,3,4,32.0846,-120.6387,2226.5,1996.5,10,15.75,33.504
1991-07-27,090.0 120.0,1991,7,27,30.4179,-123.9989,2244.3999999999996,2004.2,10,NA,33.679500000000004
1991-07-28,090.0 070.0,1991,7,28,32.0846,-120.6387,2208.8,1989.5,10,NA,33.034
1991-07-28,090.0 090.0,1991,7,28,31.4179,-121.99,2223.8,1997.55,10,NA,33.33
1991-07-28,090.0 120.0,1991,7,28,30.4179,-123.9989,2244.4,2004.2,10,17.87,33.679
1991-07-29,090.0 070.0,1991,7,29,32.0846,-120.6387,2208.8,1989.5,10,15.71,33.034
1991-07-29,090.0 090.0,1991,7,29,31.4179,-121.99,2223.8,1997.5,10,16.53,33.33
1991-10-01,090.0 120.0,1991,10,1,30.4179,-123.9989,2214.9,1983.4499999999998,10,NA,33.093500000000006
1991-10-02,090.0 090.0,1991,10,2,31.4179,-121.99,2223.25,1988.35,10,NA,33.263
1991-10-02,090.0 120.0,1991,10,2,30.4179,-123.9989,2214.9,1983.5,10,18.48,33.093
1991-10-03,090.0 090.0,1991,10,3,31.4179,-121.99,2223.2,1988.4,10,17.56,33.263
